From Class,To Class,References,From Entities,To Entities
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.constants.HTTPParameterConstants,2,2,1
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.dictionaries.ContentSubscriptionTypesDictionary,1,1,1
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.interfaces.ContentSubscription,4,1,2
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.interfaces.StandardArticle,2,2,1
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.interfaces.StandardArticleFactory,2,2,1
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.interfaces.StandardContentSubscription,7,4,3
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.interfaces.StandardContentSubscriptionFactory,3,2,2
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.interfaces.StandardImage,2,2,1
com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,com.corendal.netapps.wiki.interfaces.StandardImageFactory,2,2,1
com.corendal.netapps.wiki.batches.ArticleBodiesBatch,com.corendal.netapps.wiki.commons.DefaultArticleBodyHighlighter,2,1,2
com.corendal.netapps.wiki.batches.ArticleBodiesBatch,com.corendal.netapps.wiki.dictionaries.ArticlesDictionary,1,1,1
com.corendal.netapps.wiki.batches.ArticleBodiesBatch,com.corendal.netapps.wiki.dictionaries.EntitiesDictionary,1,1,1
com.corendal.netapps.wiki.batches.ArticleBodiesBatch,com.corendal.netapps.wiki.interfaces.Article,3,1,3
com.corendal.netapps.wiki.batches.ArticleBodiesBatch,com.corendal.netapps.wiki.interfaces.ArticleBodyHighlighter,4,2,4
com.corendal.netapps.wiki.batches.ArticleBodiesBatch,com.corendal.netapps.wiki.interfaces.StandardArticle,2,2,1
com.corendal.netapps.wiki.batches.ArticleBodiesBatch,com.corendal.netapps.wiki.interfaces.StandardArticleFactory,2,2,1
com.corendal.netapps.wiki.batches.ContentDailyDigestBatch,com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,3,3,3
com.corendal.netapps.wiki.batches.ContentDailyDigestBatch,com.corendal.netapps.wiki.dictionaries.ContentSubscriptionModesDictionary,1,1,1
com.corendal.netapps.wiki.batches.ContentDailyDigestBatch,com.corendal.netapps.wiki.dictionaries.MessagesDictionary,4,4,4
com.corendal.netapps.wiki.batches.ContentDailyDigestBatch,com.corendal.netapps.wiki.dictionaries.PagesDictionary,2,2,1
com.corendal.netapps.wiki.batches.ContentSoundexesBatch,com.corendal.netapps.wiki.interfaces.ContentInfo,2,1,2
com.corendal.netapps.wiki.batches.ContentSoundexesBatch,com.corendal.netapps.wiki.interfaces.StandardContentInfo,2,2,1
com.corendal.netapps.wiki.batches.ContentSoundexesBatch,com.corendal.netapps.wiki.interfaces.StandardContentInfoFactory,2,2,1
com.corendal.netapps.wiki.batches.ContentStatisticsBatch,com.corendal.netapps.wiki.writedatafactories.ContentAccessDayFactory,1,1,1
com.corendal.netapps.wiki.batches.ContentStatisticsBatch,com.corendal.netapps.wiki.writedatafactories.ContentAccessPeriodFactory,1,1,1
com.corendal.netapps.wiki.batches.ContentWeeklyDigestBatch,com.corendal.netapps.wiki.batches.AbstractContentDigestBatch,3,3,3
com.corendal.netapps.wiki.batches.ContentWeeklyDigestBatch,com.corendal.netapps.wiki.dictionaries.ContentSubscriptionModesDictionary,1,1,1
com.corendal.netapps.wiki.batches.ContentWeeklyDigestBatch,com.corendal.netapps.wiki.dictionaries.MessagesDictionary,4,4,4
com.corendal.netapps.wiki.batches.ContentWeeklyDigestBatch,com.corendal.netapps.wiki.dictionaries.PagesDictionary,2,2,1
com.corendal.netapps.wiki.batches.ContentWeeklyDigestBatch,com.corendal.netapps.wiki.dictionaries.PropertiesDictionary,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractArticle,2,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractArticleVersion,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractContentAccessDay,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractContentAccessLog,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractContentAccessPeriod,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractContentInfo,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractContentRequest,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractContentSubscription,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractImage,1,1,1
com.corendal.netapps.wiki.batches.PurgeWriteDataBeanBatch,com.corendal.netapps.wiki.writedatabeans.AbstractImageVersion,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAccessGroupsViewBlock,com.corendal.netapps.wiki.dictionaries.ContentClassificationTypesDictionary,3,1,3
com.corendal.netapps.wiki.blocks.AbstractAccessGroupsViewBlock,com.corendal.netapps.wiki.dictionaries.MessagesDictionary,2,1,2
com.corendal.netapps.wiki.blocks.AbstractAccessGroupsViewBlock,com.corendal.netapps.wiki.dictionaries.RolesDictionary,2,1,2
com.corendal.netapps.wiki.blocks.AbstractAccessGroupsViewBlock,com.corendal.netapps.wiki.interfaces.Classified,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAccessGroupsViewBlock,com.corendal.netapps.wiki.interfaces.Searched,4,4,1
com.corendal.netapps.wiki.blocks.AbstractAccessGroupsViewBlock,com.corendal.netapps.wiki.interfaces.StandardContent,3,2,2
com.corendal.netapps.wiki.blocks.AbstractAccessGroupsViewBlock,com.corendal.netapps.wiki.interfaces.StandardContentFactory,2,2,1
com.corendal.netapps.wiki.blocks.AbstractAdditionalIllustratedSiteKeywordSearchResultsBlock,com.corendal.netapps.wiki.blocks.AbstractGenericComplexResultsBlock,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAdditionalIllustratedSiteKeywordSearchResultsBlock,com.corendal.netapps.wiki.blocks.AbstractGenericSearchResultsBlock,3,3,3
com.corendal.netapps.wiki.blocks.AbstractAdditionalIllustratedSiteKeywordSearchResultsBlock,com.corendal.netapps.wiki.interfaces.StandardArticle,3,2,1
com.corendal.netapps.wiki.blocks.AbstractAdditionalIllustratedSiteKeywordSearchResultsBlock,com.corendal.netapps.wiki.utils.ArticleUtil,3,3,2
com.corendal.netapps.wiki.blocks.AbstractAnyArticlesViewBlock,com.corendal.netapps.wiki.blocks.AbstractContentsComplexResultsBlock,2,2,2
com.corendal.netapps.wiki.blocks.AbstractAnyArticlesViewBlock,com.corendal.netapps.wiki.blocks.AbstractGenericComplexResultsBlock,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnyArticlesViewBlock,com.corendal.netapps.wiki.dictionaries.EntitiesDictionary,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnyArticlesViewBlock,com.corendal.netapps.wiki.interfaces.StandardArticle,2,2,1
com.corendal.netapps.wiki.blocks.AbstractAnyArticlesViewBlock,com.corendal.netapps.wiki.interfaces.StandardArticleFactory,3,2,2
com.corendal.netapps.wiki.blocks.AbstractAnyContentApprovalsViewBlock,com.corendal.netapps.wiki.blocks.AbstractContentRequestsResultsBlock,3,3,3
com.corendal.netapps.wiki.blocks.AbstractAnyContentApprovalsViewBlock,com.corendal.netapps.wiki.interfaces.StandardContentRequest,2,2,1
com.corendal.netapps.wiki.blocks.AbstractAnyContentApprovalsViewBlock,com.corendal.netapps.wiki.interfaces.StandardContentRequestFactory,3,2,2
com.corendal.netapps.wiki.blocks.AbstractAnyContentRequestsViewBlock,com.corendal.netapps.wiki.blocks.AbstractContentRequestsResultsBlock,3,3,3
com.corendal.netapps.wiki.blocks.AbstractAnyContentRequestsViewBlock,com.corendal.netapps.wiki.interfaces.Secured,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnyContentRequestsViewBlock,com.corendal.netapps.wiki.interfaces.StandardContentRequest,5,4,1
com.corendal.netapps.wiki.blocks.AbstractAnyContentRequestsViewBlock,com.corendal.netapps.wiki.interfaces.StandardContentRequestFactory,3,2,2
com.corendal.netapps.wiki.blocks.AbstractAnyEditorshipsViewBlock,com.corendal.netapps.wiki.blocks.AbstractContentsComplexResultsBlock,2,2,2
com.corendal.netapps.wiki.blocks.AbstractAnyEditorshipsViewBlock,com.corendal.netapps.wiki.blocks.AbstractGenericComplexResultsBlock,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnyEditorshipsViewBlock,com.corendal.netapps.wiki.dictionaries.EntitiesDictionary,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnyEditorshipsViewBlock,com.corendal.netapps.wiki.interfaces.StandardArticle,2,2,1
com.corendal.netapps.wiki.blocks.AbstractAnyEditorshipsViewBlock,com.corendal.netapps.wiki.interfaces.StandardArticleFactory,3,2,2
com.corendal.netapps.wiki.blocks.AbstractAnyImagesViewBlock,com.corendal.netapps.wiki.blocks.AbstractContentsComplexResultsBlock,2,2,2
com.corendal.netapps.wiki.blocks.AbstractAnyImagesViewBlock,com.corendal.netapps.wiki.blocks.AbstractGenericComplexResultsBlock,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnyImagesViewBlock,com.corendal.netapps.wiki.dictionaries.EntitiesDictionary,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnyImagesViewBlock,com.corendal.netapps.wiki.interfaces.StandardImage,2,2,1
com.corendal.netapps.wiki.blocks.AbstractAnyImagesViewBlock,com.corendal.netapps.wiki.interfaces.StandardImageFactory,3,2,2
com.corendal.netapps.wiki.blocks.AbstractAnySubscriptionsViewBlock,com.corendal.netapps.wiki.blocks.AbstractGenericComplexResultsBlock,1,1,1
com.corendal.netapps.wiki.blocks.AbstractAnySubscriptionsViewBlock,com.corendal.netapps.wiki.blocks.AbstractSubscriptionsViewBlock,2,2,2
com.corendal.netapps.wiki.blocks.AbstractArticleAboutBlock,com.corendal.netapps.wiki.blocks.AbstractArticleEntryBlock,5,3,4
com.corendal.netapps.wiki.blocks.AbstractArticleAboutBlock,com.corendal.netapps.wiki.blocks.AbstractCommonContentEntryBlock,1,1,1
