From Class,To Class,References,From Entities,To Entities
org.endeavour.mgmt.controller.ActorMaintenance,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.ActorMaintenance,org.endeavour.mgmt.controller.ProjectMaintenance,3,2,2
org.endeavour.mgmt.controller.ActorMaintenance,org.endeavour.mgmt.model.Actor,17,11,10
org.endeavour.mgmt.controller.ActorMaintenance,org.endeavour.mgmt.model.Project,7,7,4
org.endeavour.mgmt.controller.ActorMaintenance,org.endeavour.mgmt.model.UseCase,1,1,1
org.endeavour.mgmt.controller.ApplicationController,org.endeavour.mgmt.controller.IReportConstants,4,2,4
org.endeavour.mgmt.controller.ApplicationController,org.endeavour.mgmt.model.persistence.PersistenceManager,4,2,3
org.endeavour.mgmt.controller.AttachmentMaintenance,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.AttachmentMaintenance,org.endeavour.mgmt.model.Attachment,26,17,12
org.endeavour.mgmt.controller.AttachmentMaintenance,org.endeavour.mgmt.model.persistence.PersistenceManager,6,2,5
org.endeavour.mgmt.controller.ChangeRequestMaintenance,org.endeavour.mgmt.controller.WorkProductMaintenance,17,8,7
org.endeavour.mgmt.controller.ChangeRequestMaintenance,org.endeavour.mgmt.model.ChangeRequest,12,10,3
org.endeavour.mgmt.controller.ChangeRequestMaintenance,org.endeavour.mgmt.model.Iteration,3,3,2
org.endeavour.mgmt.controller.ChangeRequestMaintenance,org.endeavour.mgmt.model.persistence.PersistenceManager,2,1,2
org.endeavour.mgmt.controller.ChangeRequestMaintenance,org.endeavour.mgmt.model.Project,5,5,4
org.endeavour.mgmt.controller.ChangeRequestMaintenance,org.endeavour.mgmt.model.WorkProduct,6,6,6
org.endeavour.mgmt.controller.ci.ChangeProjectDescription,org.endeavour.mgmt.controller.ci.CIMaintenance,2,2,2
org.endeavour.mgmt.controller.ci.CIMaintenance,org.endeavour.mgmt.controller.ApplicationController,2,2,2
org.endeavour.mgmt.controller.ci.CIMaintenance,org.endeavour.mgmt.controller.ci.ChangeProjectDescription,3,2,2
org.endeavour.mgmt.controller.ci.CIMaintenance,org.endeavour.mgmt.controller.ci.CreateProject,3,2,2
org.endeavour.mgmt.controller.ci.CIMaintenance,org.endeavour.mgmt.controller.ci.DeleteProject,3,2,2
org.endeavour.mgmt.controller.ci.CIMaintenance,org.endeavour.mgmt.controller.ci.RenameProject,3,2,2
org.endeavour.mgmt.controller.ci.CreateProject,org.endeavour.mgmt.controller.ci.CIMaintenance,2,2,2
org.endeavour.mgmt.controller.ci.DeleteProject,org.endeavour.mgmt.controller.ci.CIMaintenance,2,2,2
org.endeavour.mgmt.controller.ci.RenameProject,org.endeavour.mgmt.controller.ci.CIMaintenance,2,2,2
org.endeavour.mgmt.controller.CommentMaintenance,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.CommentMaintenance,org.endeavour.mgmt.controller.SecurityMaintenance,3,2,3
org.endeavour.mgmt.controller.CommentMaintenance,org.endeavour.mgmt.model.Comment,26,20,10
org.endeavour.mgmt.controller.CommentMaintenance,org.endeavour.mgmt.model.ProjectMember,3,2,3
org.endeavour.mgmt.controller.DefectMaintenance,org.endeavour.mgmt.controller.WorkProductMaintenance,17,8,7
org.endeavour.mgmt.controller.DefectMaintenance,org.endeavour.mgmt.model.Defect,13,11,2
org.endeavour.mgmt.controller.DefectMaintenance,org.endeavour.mgmt.model.Iteration,3,3,2
org.endeavour.mgmt.controller.DefectMaintenance,org.endeavour.mgmt.model.persistence.PersistenceManager,2,1,2
org.endeavour.mgmt.controller.DefectMaintenance,org.endeavour.mgmt.model.Project,5,5,4
org.endeavour.mgmt.controller.DefectMaintenance,org.endeavour.mgmt.model.WorkProduct,5,5,5
org.endeavour.mgmt.controller.DependencyMaintenance,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.DependencyMaintenance,org.endeavour.mgmt.controller.ITaskMaintenance,4,3,3
org.endeavour.mgmt.controller.DependencyMaintenance,org.endeavour.mgmt.model.Dependency,29,22,9
org.endeavour.mgmt.controller.DependencyMaintenance,org.endeavour.mgmt.model.Task,4,3,1
org.endeavour.mgmt.controller.DependencyMaintenance,org.endeavour.mgmt.model.WorkProduct,3,1,1
org.endeavour.mgmt.controller.DocumentAssignmentMaintenance,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.DocumentAssignmentMaintenance,org.endeavour.mgmt.model.Document,13,11,1
org.endeavour.mgmt.controller.DocumentAssignmentMaintenance,org.endeavour.mgmt.model.Project,4,3,2
org.endeavour.mgmt.controller.DocumentMaintenance,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.DocumentMaintenance,org.endeavour.mgmt.controller.ProjectMaintenance,3,2,2
org.endeavour.mgmt.controller.DocumentMaintenance,org.endeavour.mgmt.model.Document,16,10,12
org.endeavour.mgmt.controller.DocumentMaintenance,org.endeavour.mgmt.model.persistence.PersistenceManager,6,2,5
org.endeavour.mgmt.controller.DocumentMaintenance,org.endeavour.mgmt.model.Project,6,6,4
org.endeavour.mgmt.controller.DocumentMaintenance,org.endeavour.mgmt.model.Version,2,2,2
org.endeavour.mgmt.controller.EventMaintenance,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.EventMaintenance,org.endeavour.mgmt.model.Event,22,16,8
org.endeavour.mgmt.controller.ExtensionsMaintenance,org.endeavour.mgmt.controller.EventMaintenance,11,7,6
org.endeavour.mgmt.controller.ExtensionsMaintenance,org.endeavour.mgmt.model.Event,18,12,4
org.endeavour.mgmt.controller.GlossaryTermMaintenance,org.endeavour.mgmt.controller.ApplicationController,2,2,2
org.endeavour.mgmt.controller.GlossaryTermMaintenance,org.endeavour.mgmt.controller.ProjectMaintenance,3,2,2
org.endeavour.mgmt.controller.GlossaryTermMaintenance,org.endeavour.mgmt.model.GlossaryTerm,12,8,10
org.endeavour.mgmt.controller.GlossaryTermMaintenance,org.endeavour.mgmt.model.Project,7,7,4
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.controller.ApplicationController,1,1,1
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.controller.HomeController.NameSorter,2,2,1
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.controller.ProjectMemberMaintenance,2,2,2
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.controller.SecurityMaintenance,9,6,3
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.model.persistence.PersistenceManager,4,2,3
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.model.Project,3,3,2
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.model.ProjectMember,14,10,6
org.endeavour.mgmt.controller.HomeController,org.endeavour.mgmt.model.WorkProduct,6,4,4
org.endeavour.mgmt.controller.HomeController.NameSorter,org.endeavour.mgmt.model.IPlanElement,5,4,2
org.endeavour.mgmt.controller.IBasicInfoMaintenance,org.endeavour.mgmt.model.WorkProduct,5,1,5
