From Class,To Class,References,From Entities,To Entities
freemind.common.BooleanProperty,freemind.common.PropertyBean,1,1,1
freemind.common.BooleanProperty,freemind.common.PropertyControl,1,1,1
freemind.common.BooleanProperty,freemind.common.TextTranslator,3,2,2
freemind.common.BooleanProperty.BooleanProperty.(Anon_1),freemind.common.PropertyBean,1,1,1
freemind.common.ColorProperty,freemind.common.PropertyBean,2,2,2
freemind.common.ColorProperty,freemind.common.PropertyControl,1,1,1
freemind.common.ColorProperty,freemind.common.TextTranslator,7,5,2
freemind.common.ColorProperty,freemind.controller.Controller,1,1,1
freemind.common.ColorProperty,freemind.main.Tools,3,3,2
freemind.common.ColorProperty.layout.(Anon_1),freemind.common.ColorProperty,2,1,2
freemind.common.ColorProperty.layout.(Anon_2),freemind.common.ColorProperty,2,2,1
freemind.common.ComboProperty,freemind.common.PropertyBean,1,1,1
freemind.common.ComboProperty,freemind.common.PropertyControl,1,1,1
freemind.common.ComboProperty,freemind.common.TextTranslator,5,4,2
freemind.common.ComboProperty.ComboProperty.(Anon_1),freemind.common.PropertyBean,1,1,1
freemind.common.DontShowNotificationProperty,freemind.common.BooleanProperty,4,2,4
freemind.common.FontProperty,freemind.common.PropertyBean,1,1,1
freemind.common.FontProperty,freemind.common.PropertyControl,1,1,1
freemind.common.FontProperty,freemind.common.TextTranslator,5,4,2
freemind.common.FontProperty.FontProperty.(Anon_1),freemind.common.PropertyBean,1,1,1
freemind.common.FreeMindProgressMonitor,freemind.common.XmlBindingTools,4,2,3
freemind.common.FreeMindProgressMonitor,freemind.main.Resources,9,5,6
freemind.common.FreeMindProgressMonitor,freemind.main.Tools,1,1,1
freemind.common.FreeMindProgressMonitor.FreeMindProgressMonitor.(Anon_1),freemind.common.FreeMindProgressMonitor,1,1,1
freemind.common.FreeMindProgressMonitor.setProgress.(Anon_4),freemind.common.FreeMindProgressMonitor,1,1,1
freemind.common.FreeMindProgressMonitor.showProgress.(Anon_2),freemind.common.FreeMindProgressMonitor,1,1,1
freemind.common.FreeMindProgressMonitor.showProgress.(Anon_3),freemind.common.FreeMindProgressMonitor,1,1,1
freemind.common.FreeMindTask,freemind.common.FreeMindProgressMonitor,4,3,3
freemind.common.FreeMindTask,freemind.common.FreeMindTask.ProgressDescription,6,3,4
freemind.common.FreeMindTask,freemind.main.Resources,3,1,3
freemind.common.FreeMindTask.run.(Anon_4),freemind.common.FreeMindTask,1,1,1
freemind.common.FreeMindTask.run.(Anon_5),freemind.common.FreeMindProgressMonitor,1,1,1
freemind.common.FreeMindTask.run.(Anon_5),freemind.common.FreeMindTask,4,1,4
freemind.common.IconProperty,freemind.common.PropertyBean,2,2,2
freemind.common.IconProperty,freemind.common.PropertyControl,1,1,1
