From Class,To Class,References,From Entities,To Entities
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.Abbrevs.Expansion,11,3,5
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.Buffer,1,1,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.buffer.JEditBuffer,10,1,9
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.gui.AddAbbrevDialog,2,1,2
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.gui.StatusBar,1,1,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.jEdit,6,4,5
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.MiscUtilities,3,2,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.Mode,1,1,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.textarea.JEditTextArea,1,1,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.textarea.TextArea,3,1,3
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.TextUtilities,2,1,1
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.View,4,2,4
org.gjt.sp.jedit.Abbrevs,org.gjt.sp.util.Log,14,2,3
org.gjt.sp.jedit.AbstractOptionPane,org.gjt.sp.jedit.jEdit,1,1,1
org.gjt.sp.jedit.AbstractOptionPane,org.gjt.sp.jedit.OptionPane,1,1,1
org.gjt.sp.jedit.ActionContext,org.gjt.sp.jedit.ActionSet,2,2,1
org.gjt.sp.jedit.ActionContext,org.gjt.sp.jedit.EditAction,2,2,1
org.gjt.sp.jedit.ActionContext,org.gjt.sp.jedit.JEditActionContext,3,3,3
org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.jedit.JEditAbstractEditAction,1,1,1
org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.jedit.JEditActionSet,4,3,3
org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.util.Log,2,1,2
org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.util.XMLUtilities,1,1,1
org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.BeanShellAction,4,2,2
org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.EditAction,6,5,1
org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.input.AbstractInputHandler,1,1,1
org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.jEdit,3,3,3
org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.JEditAbstractEditAction,1,1,1
org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.JEditActionSet,9,5,7
org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.PluginJAR,3,3,1
org.gjt.sp.jedit.ActionSet,org.gjt.sp.util.Log,2,1,2
org.gjt.sp.jedit.ActionSet,org.jedit.keymap.Keymap,2,2,2
org.gjt.sp.jedit.ActionSet,org.jedit.keymap.KeymapManager,1,1,1
org.gjt.sp.jedit.Autosave,org.gjt.sp.jedit.Buffer,4,3,3
org.gjt.sp.jedit.Autosave,org.gjt.sp.jedit.jEdit,4,1,4
org.gjt.sp.jedit.Autosave,org.gjt.sp.jedit.PerspectiveManager,3,1,3
org.gjt.sp.jedit.Autosave,org.gjt.sp.util.Log,1,1,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,2,1,2
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.BeanShellFacade,21,14,14
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.bsh.BshMethod,2,2,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.bsh.EvalError,1,1,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.bsh.Interpreter,4,2,4
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.bsh.NameSpace,8,7,2
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.Buffer,3,3,2
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.buffer.JEditBuffer,4,2,4
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.gui.InputHandler,1,1,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.GUIUtilities,3,2,2
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.jEdit,1,1,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.Macros.Recorder,2,2,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.textarea.JEditTextArea,2,2,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.textarea.Selection,1,1,1
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.textarea.TextArea,2,1,2
org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.View,18,13,5
org.gjt.sp.jedit.BeanShell,org.gjt.sp.util.Log,10,5,3
org.gjt.sp.jedit.BeanShell,org.gjt.sp.util.TaskManager,2,1,2
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.BeanShellFacade,21,4,5
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.bsh.BshClassManager,1,1,1
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.bsh.NameSpace,20,4,3
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.bsh.UtilEvalError,2,2,1
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.EditPane,3,2,3
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.gui.BeanShellErrorDialog,2,1,2
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.io.VFSManager,1,1,1
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.JARClassLoader,2,1,2
org.gjt.sp.jedit.BeanShell.MyBeanShellFacade,org.gjt.sp.jedit.View,5,4,3
org.gjt.sp.jedit.BeanShellAction,org.gjt.sp.jedit.BeanShell,5,2,2
org.gjt.sp.jedit.BeanShellAction,org.gjt.sp.jedit.BeanShellAction.CachedBshMethod,9,6,4
org.gjt.sp.jedit.BeanShellAction,org.gjt.sp.jedit.bsh.NameSpace,7,3,3
