From Class,To Class,References,From Entities,To Entities
net.n3.nanoxml.CDATAReader,net.n3.nanoxml.IXMLReader,12,4,3
net.n3.nanoxml.ContentReader,net.n3.nanoxml.IXMLEntityResolver,2,2,1
net.n3.nanoxml.ContentReader,net.n3.nanoxml.IXMLReader,4,4,2
net.n3.nanoxml.ContentReader,net.n3.nanoxml.XMLParseException,2,2,1
net.n3.nanoxml.ContentReader,net.n3.nanoxml.XMLUtil,5,2,3
net.n3.nanoxml.IXMLEntityResolver,net.n3.nanoxml.IXMLReader,1,1,1
net.n3.nanoxml.IXMLEntityResolver,net.n3.nanoxml.XMLParseException,1,1,1
net.n3.nanoxml.IXMLParser,net.n3.nanoxml.IXMLBuilder,2,2,1
net.n3.nanoxml.IXMLParser,net.n3.nanoxml.IXMLEntityResolver,2,2,1
net.n3.nanoxml.IXMLParser,net.n3.nanoxml.IXMLReader,2,2,1
net.n3.nanoxml.IXMLParser,net.n3.nanoxml.IXMLValidator,2,2,1
net.n3.nanoxml.IXMLParser,net.n3.nanoxml.XMLException,1,1,1
net.n3.nanoxml.IXMLValidator,net.n3.nanoxml.IXMLEntityResolver,3,3,1
net.n3.nanoxml.IXMLValidator,net.n3.nanoxml.IXMLReader,1,1,1
net.n3.nanoxml.NonValidator,net.n3.nanoxml.CDATAReader,4,2,2
net.n3.nanoxml.NonValidator,net.n3.nanoxml.IXMLEntityResolver,11,10,3
net.n3.nanoxml.NonValidator,net.n3.nanoxml.IXMLReader,20,10,7
net.n3.nanoxml.NonValidator,net.n3.nanoxml.IXMLValidator,1,1,1
net.n3.nanoxml.NonValidator,net.n3.nanoxml.XMLEntityResolver,2,1,2
net.n3.nanoxml.NonValidator,net.n3.nanoxml.XMLUtil,85,6,10
net.n3.nanoxml.PIReader,net.n3.nanoxml.IXMLReader,7,4,3
net.n3.nanoxml.StdXMLBuilder,net.n3.nanoxml.IXMLBuilder,1,1,1
net.n3.nanoxml.StdXMLBuilder,net.n3.nanoxml.IXMLElement,30,14,15
net.n3.nanoxml.StdXMLBuilder,net.n3.nanoxml.XMLElement,2,1,2
net.n3.nanoxml.StdXMLBuilder,net.n3.nanoxml.XMLParseException,2,1,2
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.CDATAReader,2,1,2
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.ContentReader,2,1,2
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.IXMLBuilder,19,8,9
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.IXMLEntityResolver,3,3,1
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.IXMLParser,1,1,1
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.IXMLReader,65,11,10
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.IXMLValidator,12,7,7
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.PIReader,2,1,2
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.XMLEntityResolver,2,1,2
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.XMLException,5,3,2
net.n3.nanoxml.StdXMLParser,net.n3.nanoxml.XMLUtil,45,8,16
net.n3.nanoxml.StdXMLReader,net.n3.nanoxml.IXMLReader,3,3,1
net.n3.nanoxml.StdXMLReader,net.n3.nanoxml.StdXMLReader.StackedReader,62,20,5
