$0;1500625711434454128;1.13-SNAPSHOT;KIEKER;jwx-VirtualBox;1;false;0;NANOSECONDS;1
$1;1500625711433592002;public org.mybatis.jpetstore.service.AccountService.<init>();<no-session-id>;4363988038922010625;1500625711433384273;1500625711433402503;jwx-VirtualBox;0;0
$1;1500625712865915708;public org.mybatis.jpetstore.service.CatalogService.<init>();<no-session-id>;4363988038922010626;1500625712865900234;1500625712865910606;jwx-VirtualBox;0;0
$1;1500625712965680936;public org.mybatis.jpetstore.service.OrderService.<init>();<no-session-id>;4363988038922010627;1500625712965665759;1500625712965675791;jwx-VirtualBox;0;0
$1;1500625752046482215;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;4363988038922010628;1500625752046460407;1500625752046474573;jwx-VirtualBox;1;1
$1;1500625752109244703;public void org.mybatis.jpetstore.web.actions.CatalogActionBean.setCategoryId(java.lang.String);<no-session-id>;4363988038922010628;1500625752109224765;1500625752109239093;jwx-VirtualBox;2;1
$1;1500625752269785910;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;4363988038922010628;1500625752269770088;1500625752269780593;jwx-VirtualBox;5;3
$1;1500625752271667552;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;4363988038922010628;1500625752271647750;1500625752271664065;jwx-VirtualBox;6;3
$1;1500625752271834038;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;4363988038922010628;1500625752271814424;1500625752271830402;jwx-VirtualBox;7;3
$1;1500625752271986345;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;4363988038922010628;1500625752271970863;1500625752271982985;jwx-VirtualBox;8;3
$1;1500625752272154428;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;4363988038922010628;1500625752272139452;1500625752272151227;jwx-VirtualBox;9;3
$1;1500625752272360967;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;4363988038922010628;1500625752272355197;1500625752272357850;jwx-VirtualBox;10;3
$1;1500625752272410553;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;4363988038922010628;1500625752272404826;1500625752272407707;jwx-VirtualBox;11;3
$1;1500625752272434067;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;4363988038922010628;1500625752272429204;1500625752272431389;jwx-VirtualBox;12;3
$1;1500625752272500339;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;4363988038922010628;1500625752272495027;1500625752272497502;jwx-VirtualBox;13;3
$1;1500625752272539632;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;4363988038922010628;1500625752272534195;1500625752272536690;jwx-VirtualBox;14;3
$1;1500625752272712569;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;4363988038922010628;1500625752272706137;1500625752272709077;jwx-VirtualBox;15;3
$1;1500625752272787204;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;4363988038922010628;1500625752272780947;1500625752272783898;jwx-VirtualBox;16;3
$1;1500625752272856611;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;4363988038922010628;1500625752272850881;1500625752272853485;jwx-VirtualBox;17;3
$1;1500625752272881137;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;4363988038922010628;1500625752272876163;1500625752272878443;jwx-VirtualBox;18;3
$1;1500625752272903595;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;4363988038922010628;1500625752272898737;1500625752272900905;jwx-VirtualBox;19;3
$1;1500625752273075496;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;4363988038922010628;1500625752273069192;1500625752273072257;jwx-VirtualBox;20;3
$1;1500625752273111908;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;4363988038922010628;1500625752273106149;1500625752273108985;jwx-VirtualBox;21;3
$1;1500625752273135328;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;4363988038922010628;1500625752273130388;1500625752273132485;jwx-VirtualBox;22;3
$1;1500625752273157559;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;4363988038922010628;1500625752273152693;1500625752273154793;jwx-VirtualBox;23;3
$1;1500625752273709332;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;4363988038922010628;1500625752273703283;1500625752273706015;jwx-VirtualBox;24;3
$1;1500625752281683751;public java.util.List org.mybatis.jpetstore.service.CatalogService.getProductListByCategory(java.lang.String);<no-session-id>;4363988038922010628;1500625752138437124;1500625752281677046;jwx-VirtualBox;4;2
$1;1500625752285246553;public org.mybatis.jpetstore.domain.Category.<init>();<no-session-id>;4363988038922010628;1500625752285232026;1500625752285241630;jwx-VirtualBox;26;3
$1;1500625752285545019;public void org.mybatis.jpetstore.domain.Category.setCategoryId(java.lang.String);<no-session-id>;4363988038922010628;1500625752285515472;1500625752285541750;jwx-VirtualBox;27;3
$1;1500625752285716196;public void org.mybatis.jpetstore.domain.Category.setName(java.lang.String);<no-session-id>;4363988038922010628;1500625752285652679;1500625752285712510;jwx-VirtualBox;28;3
$1;1500625752285881880;public void org.mybatis.jpetstore.domain.Category.setDescription(java.lang.String);<no-session-id>;4363988038922010628;1500625752285866336;1500625752285878552;jwx-VirtualBox;29;3
$1;1500625752286869000;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.service.CatalogService.getCategory(java.lang.String);<no-session-id>;4363988038922010628;1500625752281870530;1500625752286865217;jwx-VirtualBox;25;2
$1;1500625752287348916;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory();<no-session-id>;4363988038922010628;1500625752138320924;1500625752287345087;jwx-VirtualBox;3;1
$1;1500625754162559151;public java.lang.String org.mybatis.jpetstore.web.actions.CatalogActionBean.getKeyword();<no-session-id>;4363988038922010628;1500625754162541485;1500625754162553764;jwx-VirtualBox;30;1
$1;1500625754334511720;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory();<no-session-id>;4363988038922010628;1500625754334494933;1500625754334506241;jwx-VirtualBox;31;1
