From Class,To Class,uniTraceCount,uniTraceIDList,uniFlowTypeList,traceCount,traceList
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,13,0 7 40 8 14 10 11 12 26 29 32 33 41,null null null null null null null null null null null,19,0 7 40 8 14 8 14 10 10 10 10 11 12 12 26 29 32 33 41
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,9,1 9 18 2 36 43 20 21 24,null null null null null null null,15,1 9 18 1 9 18 2 36 43 2 36 43 20 21 24
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper,5,1 9 18 16 24,null null null,6,1 9 18 16 16 24
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item,6,1 9 18 16 24 34,null null null null,81,1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product,6,1 9 18 16 24 34,null null null null,30,1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 16 24 34 16 24 34 16 24 34 16 24 34 16 24 34
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper,11,1 9 18 2 8 10 14 36 43 20 21,null null null null null null null null null,11,1 9 18 2 8 10 14 36 43 20 21
org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product,10,1 9 18 2 8 10 14 36 43 21,null null null null null null null null,50,1 9 18 1 9 18 1 9 18 1 9 18 1 9 18 2 8 10 14 36 43 2 8 10 14 36 43 2 8 10 14 36 43 2 8 10 14 36 43 2 8 10 14 36 43 21 21 21 21 21
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper,3,2 36 43,null,3,2 36 43
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category,3,2 36 43,null,12,2 36 43 2 36 43 2 36 43 2 36 43
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,6,3 6 31 7 40 34,null null null null,8,3 6 31 7 40 7 40 34
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account,4,3 6 31 34,null null,4,3 6 31 34
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,6,3 6 31 28 44 34,null null null null,6,3 6 31 28 44 34
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper,6,3 6 31 28 44 34,null null null null,6,3 6 31 28 44 34
