From Method,To Method,uniTraceCount,uniTraceIDList,flowType
org.mybatis.jpetstore.web.actions.AccountActionBean.isAuthenticated(),org.mybatis.jpetstore.domain.Account.getUsername(),3,0 7 40,null
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct(),org.mybatis.jpetstore.service.CatalogService.getItemListByProduct(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.service.CatalogService.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.<init>(),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setItemId(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setListPrice(java.math.BigDecimal),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setUnitCost(java.math.BigDecimal),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setSupplierId(int),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.getProduct(),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.<init>(),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setProduct(org.mybatis.jpetstore.domain.Product),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setName(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setStatus(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setAttribute1(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setAttribute2(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setAttribute3(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setAttribute4(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct(java.lang.String),org.mybatis.jpetstore.domain.Item.setAttribute5(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct(),org.mybatis.jpetstore.service.CatalogService.getProduct(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.service.CatalogService.getProduct(java.lang.String),org.mybatis.jpetstore.mapper.ProductMapper.getProduct(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ProductMapper.getProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.<init>(),3,1 9 18,null
org.mybatis.jpetstore.mapper.ProductMapper.getProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ProductMapper.getProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setName(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ProductMapper.getProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.mapper.ProductMapper.getProduct(java.lang.String),org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String),3,1 9 18,null
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory(),org.mybatis.jpetstore.service.CatalogService.getProductListByCategory(java.lang.String),3,2 36 43,null
org.mybatis.jpetstore.service.CatalogService.getProductListByCategory(java.lang.String),org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory(java.lang.String),6,2 8 10 14 36 43,null
org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory(java.lang.String),org.mybatis.jpetstore.domain.Product.<init>(),6,2 8 10 14 36 43,null
