method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.web.actions.AccountActionBean.isAuthenticated,org.mybatis.jpetstore.domain.Account.getUsername,java.lang.String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.common.util.PaginatedList,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.common.util.PaginatedList,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.<init>,public,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setItemId,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setListPrice,void,java.math.BigDecimal,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setUnitCost,void,java.math.BigDecimal,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setSupplierId,void,int,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,org.mybatis.jpetstore.domain.Product,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.<init>,public,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setProduct,void,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setProductId,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setName,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setDescription,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setCategoryId,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setStatus,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute1,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute2,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute3,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute4,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute5,void,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct,org.mybatis.jpetstore.service.CatalogService.getProduct,org.mybatis.jpetstore.domain.Product,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.service.CatalogService.getProduct,org.mybatis.jpetstore.mapper.ProductMapper.getProduct,org.mybatis.jpetstore.domain.Product,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper
org.mybatis.jpetstore.mapper.ProductMapper.getProduct,org.mybatis.jpetstore.domain.Product.<init>,public,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProduct,org.mybatis.jpetstore.domain.Product.setProductId,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProduct,org.mybatis.jpetstore.domain.Product.setName,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProduct,org.mybatis.jpetstore.domain.Product.setDescription,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
org.mybatis.jpetstore.mapper.ProductMapper.getProduct,org.mybatis.jpetstore.domain.Product.setCategoryId,void,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
