traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2
0,0,null,org.mybatis.jpetstore.web.actions.AccountActionBean.isAuthenticated,org.mybatis.jpetstore.domain.Account.getUsername,,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
1,0,null,org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
1,1,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper
1,2,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,3,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setItemId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,4,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setListPrice,java.lang.String,java.math.BigDecimal,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,5,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setUnitCost,java.lang.String,java.math.BigDecimal,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,6,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setSupplierId,java.lang.String,int,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,7,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,8,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
1,9,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setProduct,java.lang.String,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,10,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
1,11,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,12,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
1,13,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,14,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
1,15,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,16,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product
1,17,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setStatus,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,18,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute1,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,19,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute2,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
1,20,null,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute3,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item
