From Class,To Class,structDep,semanticSim,commuCost,workflowCurency
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Account,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.CartItem,0,0.3333,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Category,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Item,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.LineItem,0,0.3333,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Order,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Product,0,0.3333,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Sequence,0,0.3333,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.OrderService,0,0.3333,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.3333,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Account,0,0.2500,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart,0,0,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,28,0.6667,1,8
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Category,0,0.2000,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,6,0.5000,6,5
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.LineItem,0,0.6667,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Order,0,0.5000,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Product,0,0.2500,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Sequence,0,0.2500,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
