From Class,To Class,Semantic_Sim
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,0.7500
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.LineItem,0.2000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,0.4000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Category,0.4000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,0.4000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService,0.4000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Cart,0.1667
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.CartItem,0.2000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,0.5000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.OrderService,0.2000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Order,0.1667
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Item,0.1667
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,0.2000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Sequence,0.2000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0.6000
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Product,0.2000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0.7500
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.LineItem,0.2500
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.AccountService,0.2000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Category,0.5000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,0.5000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,0.5000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Cart,0.2000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.CartItem,0.2500
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,0.6667
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.OrderService,0.2500
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Order,0.2000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item,0.2000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Account,0.2500
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Sequence,0.2500
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean,0.4000
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Product,0.2500
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.AccountActionBean,0.2000
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.CatalogActionBean,0.2500
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.service.AccountService,0.2500
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Category,0.2500
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.CartActionBean,0.2500
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.service.CatalogService,0.2500
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Cart,0.6667
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem,1.0000
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.AbstractActionBean,0.3333
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.service.OrderService,0.3333
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Order,0.6667
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item,0.6667
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Account,0.3333
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Sequence,0.3333
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.OrderActionBean,0.2000
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Product,0.3333
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.web.actions.AccountActionBean,0.4000
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.web.actions.CatalogActionBean,0.2000
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.LineItem,0.2500
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.Category,0.2000
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.web.actions.CartActionBean,0.2000
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.CatalogService,0.5000
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.Cart,0.2000
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.CartItem,0.2500
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.web.actions.AbstractActionBean,0.2500
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.OrderService,0.6667
