component,method,returntype,paralist
3,org.mybatis.jpetstore.domain.Item.<init>,public,
3,org.mybatis.jpetstore.domain.Item.setItemId,void,java.lang.String
3,org.mybatis.jpetstore.domain.Item.setListPrice,void,java.math.BigDecimal
3,org.mybatis.jpetstore.domain.Item.setUnitCost,void,java.math.BigDecimal
3,org.mybatis.jpetstore.domain.Item.setSupplierId,void,int
3,org.mybatis.jpetstore.domain.Item.getProduct,org.mybatis.jpetstore.domain.Product,
3,org.mybatis.jpetstore.domain.Item.setProduct,void,org.mybatis.jpetstore.domain.Product
3,org.mybatis.jpetstore.domain.Item.setStatus,void,java.lang.String
3,org.mybatis.jpetstore.domain.Item.setAttribute1,void,java.lang.String
3,org.mybatis.jpetstore.domain.Item.setAttribute2,void,java.lang.String
3,org.mybatis.jpetstore.domain.Item.setAttribute3,void,java.lang.String
3,org.mybatis.jpetstore.domain.Item.setAttribute4,void,java.lang.String
3,org.mybatis.jpetstore.domain.Item.setAttribute5,void,java.lang.String
3,org.mybatis.jpetstore.service.OrderService.getOrdersByUsername,org.mybatis.common.util.PaginatedList,java.lang.String
2,org.mybatis.jpetstore.domain.Order.<init>,public,
2,org.mybatis.jpetstore.domain.Order.setBillAddress1,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setBillAddress2,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setBillCity,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setBillCountry,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setBillState,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setBillToFirstName,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setBillToLastName,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setBillZip,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipAddress1,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipAddress2,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipCity,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipCountry,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipState,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipToFirstName,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipToLastName,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setShipZip,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setCardType,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setCourier,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setCreditCard,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setExpiryDate,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setLocale,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setOrderDate,void,java.util.Date
2,org.mybatis.jpetstore.domain.Order.setOrderId,void,int
2,org.mybatis.jpetstore.domain.Order.setTotalPrice,void,java.math.BigDecimal
2,org.mybatis.jpetstore.domain.Order.setUsername,void,java.lang.String
2,org.mybatis.jpetstore.domain.Order.setStatus,void,java.lang.String
3,org.mybatis.jpetstore.web.actions.CartActionBean.getCart,org.mybatis.jpetstore.domain.Cart,
3,org.mybatis.jpetstore.domain.Cart.getSubTotal,java.math.BigDecimal,
3,org.mybatis.jpetstore.domain.LineItem.<init>,public,"int,org.mybatis.jpetstore.domain.CartItem"
4,org.mybatis.jpetstore.service.CatalogService.isItemInStock,boolean,java.lang.String
4,org.mybatis.jpetstore.service.CatalogService.getItem,org.mybatis.jpetstore.domain.Item,java.lang.String
3,org.mybatis.jpetstore.domain.Item.setQuantity,void,int
-1,org.mybatis.jpetstore.persistence.DaoConfig.getDaoManager,org.mybatis.dao.client.DaoManager,
2,org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage,void,java.lang.String
3,org.mybatis.jpetstore.service.OrderService.insertOrder,void,org.mybatis.jpetstore.domain.Order
1,org.mybatis.jpetstore.mapper.SequenceMapper.getNextId,int,java.lang.String
3,org.mybatis.jpetstore.domain.Sequence.<init>,public,"java.lang.String,int"
3,org.mybatis.jpetstore.domain.Sequence.getName,java.lang.String,
3,org.mybatis.jpetstore.domain.Sequence.<init>,public,
3,org.mybatis.jpetstore.domain.Sequence.setName,void,java.lang.String
3,org.mybatis.jpetstore.domain.Sequence.setNextId,void,int
3,org.mybatis.jpetstore.domain.Sequence.getNextId,int,
4,org.mybatis.jpetstore.mapper.ItemMapper.updateAllQuantitiesFromOrder,void,org.mybatis.jpetstore.domain.Order
2,org.mybatis.jpetstore.domain.Order.getLineItems,java.util.List,
3,org.mybatis.jpetstore.domain.LineItem.getItemId,java.lang.String,
3,org.mybatis.jpetstore.domain.LineItem.getQuantity,int,
2,org.mybatis.jpetstore.domain.Order.getOrderId,int,
2,org.mybatis.jpetstore.domain.Order.getUsername,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getOrderDate,java.util.Date,
2,org.mybatis.jpetstore.domain.Order.getShipAddress1,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getShipAddress2,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getShipCity,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getShipState,java.lang.String,
