From Class,To Class,References,From Entities,To Entities
org.mybatis.jpetstore.domain.Account,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.Account,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.Account,java.lang.String,48,48,1
org.mybatis.jpetstore.domain.Cart,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.Cart,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.Cart,java.lang.String,7,7,2
org.mybatis.jpetstore.domain.Cart,java.math.BigDecimal,10,4,4
org.mybatis.jpetstore.domain.Cart,java.util.ArrayList,2,1,2
org.mybatis.jpetstore.domain.Cart,java.util.Collections,1,1,1
org.mybatis.jpetstore.domain.Cart,java.util.HashMap,2,1,2
org.mybatis.jpetstore.domain.Cart,java.util.Iterator,5,4,3
org.mybatis.jpetstore.domain.Cart,java.util.List,7,7,5
org.mybatis.jpetstore.domain.Cart,java.util.Map,7,6,5
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,28,17,7
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,6,5,3
org.mybatis.jpetstore.domain.CartItem,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.CartItem,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.CartItem,java.math.BigDecimal,5,3,3
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item,5,4,2
org.mybatis.jpetstore.domain.Category,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.Category,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.Category,java.lang.Override,1,1,1
org.mybatis.jpetstore.domain.Category,java.lang.String,11,11,2
org.mybatis.jpetstore.domain.Item,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.Item,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.Item,java.lang.Override,1,1,1
org.mybatis.jpetstore.domain.Item,java.lang.String,26,26,2
org.mybatis.jpetstore.domain.Item,java.math.BigDecimal,6,6,1
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Product,3,3,1
org.mybatis.jpetstore.domain.LineItem,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.LineItem,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.LineItem,java.lang.String,3,3,1
org.mybatis.jpetstore.domain.LineItem,java.math.BigDecimal,8,6,3
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem,5,2,3
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item,7,5,3
org.mybatis.jpetstore.domain.Order,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.Order,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.Order,java.lang.String,69,69,1
org.mybatis.jpetstore.domain.Order,java.math.BigDecimal,3,3,1
org.mybatis.jpetstore.domain.Order,java.util.ArrayList,2,1,2
org.mybatis.jpetstore.domain.Order,java.util.Date,5,4,2
org.mybatis.jpetstore.domain.Order,java.util.Iterator,3,2,3
org.mybatis.jpetstore.domain.Order,java.util.List,5,5,3
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account,18,2,10
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart,3,2,3
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.CartItem,4,4,1
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,8,7,2
org.mybatis.jpetstore.domain.Product,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.Product,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.Product,java.lang.Override,1,1,1
org.mybatis.jpetstore.domain.Product,java.lang.String,14,14,2
org.mybatis.jpetstore.domain.Sequence,java.io.Serializable,1,1,1
org.mybatis.jpetstore.domain.Sequence,java.lang.Object,1,1,1
org.mybatis.jpetstore.domain.Sequence,java.lang.String,4,4,1
org.mybatis.jpetstore.mapper.AccountMapper,java.lang.String,3,3,1
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account,8,8,1
org.mybatis.jpetstore.mapper.CategoryMapper,java.lang.String,1,1,1
org.mybatis.jpetstore.mapper.CategoryMapper,java.util.List,1,1,1
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category,2,2,1
org.mybatis.jpetstore.mapper.ItemMapper,java.lang.Object,1,1,1
org.mybatis.jpetstore.mapper.ItemMapper,java.lang.String,4,4,1
org.mybatis.jpetstore.mapper.ItemMapper,java.util.List,1,1,1
org.mybatis.jpetstore.mapper.ItemMapper,java.util.Map,1,1,1
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item,2,2,1
org.mybatis.jpetstore.mapper.LineItemMapper,java.util.List,1,1,1
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.domain.LineItem,2,2,1
org.mybatis.jpetstore.mapper.OrderMapper,java.lang.String,1,1,1
org.mybatis.jpetstore.mapper.OrderMapper,java.util.List,1,1,1
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order,4,4,1
org.mybatis.jpetstore.mapper.ProductMapper,java.lang.String,3,3,1
org.mybatis.jpetstore.mapper.ProductMapper,java.util.List,2,2,1
org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product,3,3,1
org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.domain.Sequence,3,3,1
org.mybatis.jpetstore.service.AccountService,java.lang.Object,1,1,1
org.mybatis.jpetstore.service.AccountService,java.lang.String,4,4,2
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.Account,6,5,2
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper,9,5,9
org.mybatis.jpetstore.service.CatalogService,java.lang.Object,1,1,1
org.mybatis.jpetstore.service.CatalogService,java.lang.String,10,9,3
org.mybatis.jpetstore.service.CatalogService,java.util.ArrayList,2,1,2
org.mybatis.jpetstore.service.CatalogService,java.util.List,6,5,2
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Category,2,2,1
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,2,2,1
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,5,4,1
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper,3,3,3
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper,4,4,4
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper,4,4,4
org.mybatis.jpetstore.service.OrderService,java.lang.Integer,3,2,2
org.mybatis.jpetstore.service.OrderService,java.lang.Object,3,3,1
org.mybatis.jpetstore.service.OrderService,java.lang.RuntimeException,2,1,2
org.mybatis.jpetstore.service.OrderService,java.lang.String,5,5,1
org.mybatis.jpetstore.service.OrderService,java.util.HashMap,2,1,2
org.mybatis.jpetstore.service.OrderService,java.util.List,7,3,3
org.mybatis.jpetstore.service.OrderService,java.util.Map,3,2,2
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Item,2,2,2
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem,12,5,5
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,13,5,5
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Sequence,9,3,3
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper,4,3,4
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.LineItemMapper,3,3,3
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper,5,4,5
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.SequenceMapper,3,2,3
org.mybatis.jpetstore.web.actions.AbstractActionBean,java.io.Serializable,1,1,1
org.mybatis.jpetstore.web.actions.AbstractActionBean,java.lang.Object,1,1,1
org.mybatis.jpetstore.web.actions.AbstractActionBean,java.lang.Override,2,1,1
org.mybatis.jpetstore.web.actions.AbstractActionBean,java.lang.String,2,2,1
org.mybatis.jpetstore.web.actions.AccountActionBean,java.lang.Class,4,4,1
org.mybatis.jpetstore.web.actions.AccountActionBean,java.lang.String,16,15,1
org.mybatis.jpetstore.web.actions.AccountActionBean,java.util.ArrayList,4,1,2
org.mybatis.jpetstore.web.actions.AccountActionBean,java.util.Collections,2,1,1
org.mybatis.jpetstore.web.actions.AccountActionBean,java.util.List,16,10,2
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,15,12,6
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Product,3,3,1
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,6,4,5
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService,4,4,2
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,4,3,3
org.mybatis.jpetstore.web.actions.CartActionBean,java.lang.Exception,1,1,1
org.mybatis.jpetstore.web.actions.CartActionBean,java.lang.Integer,1,1,1
org.mybatis.jpetstore.web.actions.CartActionBean,java.lang.String,6,6,1
org.mybatis.jpetstore.web.actions.CartActionBean,java.util.Iterator,4,2,4
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,11,8,7
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem,4,3,2
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Item,3,3,2
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService,3,2,3
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,4,3,4
org.mybatis.jpetstore.web.actions.CatalogActionBean,java.lang.String,19,18,3
org.mybatis.jpetstore.web.actions.CatalogActionBean,java.util.List,9,9,1
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Category,6,6,1
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item,7,7,2
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Product,6,6,1
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,7,5,7
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,3,2,3
org.mybatis.jpetstore.web.actions.OrderActionBean,java.lang.Class,1,1,1
org.mybatis.jpetstore.web.actions.OrderActionBean,java.lang.String,10,10,2
org.mybatis.jpetstore.web.actions.OrderActionBean,java.util.ArrayList,2,1,2
org.mybatis.jpetstore.web.actions.OrderActionBean,java.util.Collections,1,1,1
org.mybatis.jpetstore.web.actions.OrderActionBean,java.util.List,8,6,2
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account,2,2,1
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,12,11,5
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,4,4,4
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,13,5,4
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,10,6,3
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,6,4,3
