method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.service.OrderService.getNextId,org.mybatis.jpetstore.domain.Sequence.Sequence,,"String,int",org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Sequence
org.mybatis.jpetstore.service.OrderService.getNextId,org.mybatis.jpetstore.domain.Sequence.getNextId,int,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Sequence
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrderForm,org.mybatis.jpetstore.web.actions.OrderActionBean.clear,void,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrder,org.mybatis.jpetstore.web.actions.OrderActionBean.getOrder,Order,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrder,org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed,boolean,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderId,org.mybatis.jpetstore.domain.Order.getOrderId,int,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.OrderActionBean.viewOrder,org.mybatis.jpetstore.domain.Order.getOrderId,int,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.domain.Order.getOrderId,int,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders,org.mybatis.jpetstore.web.actions.AccountActionBean.getAccount,Account,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrderForm,org.mybatis.jpetstore.web.actions.AccountActionBean.getAccount,Account,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.viewOrder,org.mybatis.jpetstore.web.actions.AccountActionBean.getAccount,Account,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders,org.mybatis.jpetstore.domain.Account.getUsername,String,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.OrderActionBean.viewOrder,org.mybatis.jpetstore.domain.Account.getUsername,String,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getUsername,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount,org.mybatis.jpetstore.domain.Account.getUsername,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.getUsername,org.mybatis.jpetstore.domain.Account.getUsername,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.isAuthenticated,org.mybatis.jpetstore.domain.Account.getUsername,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.newAccount,org.mybatis.jpetstore.domain.Account.getUsername,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders,org.mybatis.jpetstore.service.OrderService.getOrdersByUsername,List,String,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrder,org.mybatis.jpetstore.service.OrderService.insertOrder,void,Order,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrder,org.mybatis.jpetstore.web.actions.CartActionBean.clear,void,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.CartActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrder,org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage,void,String,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrderForm,org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage,void,String,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.viewOrder,org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage,void,String,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean
org.mybatis.jpetstore.web.actions.CatalogActionBean.searchProducts,org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage,void,String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean
org.mybatis.jpetstore.web.actions.CartActionBean.removeItemFromCart,org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage,void,String,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean
org.mybatis.jpetstore.web.actions.AccountActionBean.signon,org.mybatis.jpetstore.web.actions.AbstractActionBean.setMessage,void,String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrderForm,org.mybatis.jpetstore.web.actions.AccountActionBean.isAuthenticated,boolean,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean
