From Class,To Class,References,From Entities,To Entities
weka.associations.AbstractAssociator,java.io.PrintStream,2,1,1
weka.associations.AbstractAssociator,java.io.Serializable,1,1,1
weka.associations.AbstractAssociator,java.lang.Class,4,4,1
weka.associations.AbstractAssociator,java.lang.Cloneable,1,1,1
weka.associations.AbstractAssociator,java.lang.Exception,11,9,2
weka.associations.AbstractAssociator,java.lang.IllegalArgumentException,2,1,2
weka.associations.AbstractAssociator,java.lang.Object,2,2,1
weka.associations.AbstractAssociator,java.lang.Override,5,1,1
weka.associations.AbstractAssociator,java.lang.String,13,11,2
weka.associations.AbstractAssociator,java.lang.System,2,1,2
weka.associations.AbstractAssociator,java.lang.Throwable,5,1,2
weka.associations.AbstractAssociator,java.util.Enumeration,1,1,1
weka.associations.AbstractAssociator,java.util.Vector,6,4,4
weka.associations.AbstractAssociator,weka.associations.Associator,14,9,1
weka.associations.AbstractAssociator,weka.associations.AssociatorEvaluation,1,1,1
weka.associations.AbstractAssociator,weka.core.Capabilities,5,2,3
weka.associations.AbstractAssociator,weka.core.CapabilitiesHandler,1,1,1
weka.associations.AbstractAssociator,weka.core.CapabilitiesIgnorer,1,1,1
weka.associations.AbstractAssociator,weka.core.CommandlineRunnable,7,2,3
weka.associations.AbstractAssociator,weka.core.Option,5,4,4
weka.associations.AbstractAssociator,weka.core.OptionHandler,1,1,1
weka.associations.AbstractAssociator,weka.core.RevisionHandler,1,1,1
weka.associations.AbstractAssociator,weka.core.RevisionUtils,1,1,1
weka.associations.AbstractAssociator,weka.core.SerializedObject,7,3,3
weka.associations.AbstractAssociator,weka.core.Utils,1,1,1
weka.associations.Apriori,java.io.PrintStream,3,2,1
weka.associations.Apriori,java.lang.Double,29,3,3
weka.associations.Apriori,java.lang.Exception,15,11,2
weka.associations.Apriori,java.lang.Integer,8,5,3
weka.associations.Apriori,java.lang.Math,9,3,3
weka.associations.Apriori,java.lang.Object,34,22,1
weka.associations.Apriori,java.lang.Override,16,1,1
weka.associations.Apriori,java.lang.String,98,78,5
weka.associations.Apriori,java.lang.StringBuffer,63,4,6
weka.associations.Apriori,java.lang.SuppressWarnings,2,2,1
weka.associations.Apriori,java.lang.System,3,2,2
weka.associations.Apriori,java.lang.Throwable,2,1,1
weka.associations.Apriori,java.util.ArrayList,194,26,6
weka.associations.Apriori,java.util.Enumeration,10,7,3
weka.associations.Apriori,java.util.Hashtable,4,4,1
weka.associations.Apriori,java.util.List,6,4,2
weka.associations.Apriori,java.util.Vector,18,2,4
weka.associations.Apriori,weka.associations.AbstractAssociator,3,3,3
weka.associations.Apriori,weka.associations.AprioriItemSet,16,9,6
weka.associations.Apriori,weka.associations.AssociationRule,2,2,1
weka.associations.Apriori,weka.associations.AssociationRules,3,1,2
weka.associations.Apriori,weka.associations.AssociationRulesProducer,1,1,1
weka.associations.Apriori,weka.associations.CARuleMiner,1,1,1
weka.associations.Apriori,weka.associations.DefaultAssociationRule,6,3,3
weka.associations.Apriori,weka.associations.DefaultAssociationRule.METRIC_TYPE,9,2,5
weka.associations.Apriori,weka.associations.Item,6,5,1
weka.associations.Apriori,weka.associations.ItemSet,32,8,13
weka.associations.Apriori,weka.associations.LabeledItemSet,17,5,11
weka.associations.Apriori,weka.associations.NominalItem,4,1,2
weka.associations.Apriori,weka.core.AttributeStats,3,2,3
weka.associations.Apriori,weka.core.Capabilities,9,3,4
weka.associations.Apriori,weka.core.Capabilities.Capability,5,1,5
weka.associations.Apriori,weka.core.Instances,37,16,7
weka.associations.Apriori,weka.core.Option,31,2,2
weka.associations.Apriori,weka.core.OptionHandler,1,1,1
weka.associations.Apriori,weka.core.RevisionUtils,1,1,1
weka.associations.Apriori,weka.core.SelectedTag,8,4,4
weka.associations.Apriori,weka.core.Tag,11,4,4
weka.associations.Apriori,weka.core.TechnicalInformation,19,4,5
weka.associations.Apriori,weka.core.TechnicalInformation.Field,12,1,6
weka.associations.Apriori,weka.core.TechnicalInformation.Type,2,1,1
weka.associations.Apriori,weka.core.TechnicalInformationHandler,1,1,1
weka.associations.Apriori,weka.core.Utils,29,4,7
weka.associations.Apriori,weka.core.WekaEnumeration,6,3,2
weka.associations.Apriori,weka.filters.Filter,1,1,1
weka.associations.Apriori,weka.filters.unsupervised.attribute.Remove,6,2,5
weka.associations.AprioriItemSet,java.io.PrintStream,2,1,1
weka.associations.AprioriItemSet,java.io.Serializable,1,1,1
weka.associations.AprioriItemSet,java.lang.Double,32,3,2
weka.associations.AprioriItemSet,java.lang.Exception,6,2,2
weka.associations.AprioriItemSet,java.lang.Integer,8,8,1
weka.associations.AprioriItemSet,java.lang.Math,1,1,1
weka.associations.AprioriItemSet,java.lang.Object,38,18,1
weka.associations.AprioriItemSet,java.lang.Override,2,1,1
weka.associations.AprioriItemSet,java.lang.String,2,2,1
weka.associations.AprioriItemSet,java.lang.SuppressWarnings,3,3,1
weka.associations.AprioriItemSet,java.lang.System,2,1,1
weka.associations.AprioriItemSet,java.util.ArrayList,137,35,5
weka.associations.AprioriItemSet,java.util.Enumeration,3,2,3
weka.associations.AprioriItemSet,java.util.Hashtable,15,12,2
weka.associations.AprioriItemSet,weka.associations.ItemSet,117,23,8
weka.associations.AprioriItemSet,weka.core.Attribute,2,1,2
weka.associations.AprioriItemSet,weka.core.ContingencyTables,1,1,1
weka.associations.AprioriItemSet,weka.core.Instances,8,3,4
weka.associations.AprioriItemSet,weka.core.RevisionHandler,1,1,1
weka.associations.AprioriItemSet,weka.core.RevisionUtils,1,1,1
weka.associations.AprioriItemSet,weka.core.WekaEnumeration,2,1,2
weka.associations.AssociationRule,java.lang.Comparable,1,1,1
weka.associations.AssociationRule,java.lang.Double,1,1,1
weka.associations.AssociationRule,java.lang.Exception,2,2,1
weka.associations.AssociationRule,java.lang.Object,4,3,2
weka.associations.AssociationRule,java.lang.String,3,3,1
weka.associations.AssociationRule,java.util.ArrayList,4,2,3
weka.associations.AssociationRule,java.util.Collection,2,2,1
weka.associations.AssociationRule,weka.associations.Item,5,5,1
weka.associations.AssociationRules,java.io.Serializable,1,1,1
weka.associations.AssociationRules,java.lang.Class,1,1,1
weka.associations.AssociationRules,java.lang.Object,2,2,1
weka.associations.AssociationRules,java.lang.String,9,7,4
weka.associations.AssociationRules,java.util.List,7,7,2
weka.associations.AssociationRules,weka.associations.AssociationRule,6,6,1
weka.associations.AssociationRules,weka.core.OptionHandler,3,1,2
weka.associations.AssociationRules,weka.core.Utils,1,1,1
weka.associations.AssociationRulesProducer,java.lang.String,1,1,1
weka.associations.AssociationRulesProducer,weka.associations.AssociationRules,1,1,1
weka.associations.Associator,java.lang.Exception,1,1,1
weka.associations.Associator,weka.core.Capabilities,1,1,1
weka.associations.Associator,weka.core.Instances,1,1,1
weka.associations.AssociatorEvaluation,java.io.BufferedWriter,6,2,5
weka.associations.AssociatorEvaluation,java.io.FileWriter,2,1,2
weka.associations.AssociatorEvaluation,java.io.PrintStream,2,1,1
weka.associations.AssociatorEvaluation,java.io.Writer,1,1,1
weka.associations.AssociatorEvaluation,java.lang.Class,3,2,3
weka.associations.AssociatorEvaluation,java.lang.Exception,16,7,2
weka.associations.AssociatorEvaluation,java.lang.Object,4,4,3
weka.associations.AssociatorEvaluation,java.lang.Override,3,1,1
weka.associations.AssociatorEvaluation,java.lang.String,26,20,4
weka.associations.AssociatorEvaluation,java.lang.StringBuffer,29,8,6
weka.associations.AssociatorEvaluation,java.lang.System,2,1,2
weka.associations.AssociatorEvaluation,java.lang.Throwable,3,2,2
weka.associations.AssociatorEvaluation,java.util.Enumeration,3,2,3
weka.associations.AssociatorEvaluation,weka.associations.Associator,6,6,2
weka.associations.AssociatorEvaluation,weka.core.converters.ConverterUtils.DataSource,4,2,3
weka.associations.AssociatorEvaluation,weka.core.Drawable,3,1,2
weka.associations.AssociatorEvaluation,weka.core.Instances,3,2,2
